subject,task,n_epochs_before_rejection,n_epochs_after_rejection,n_rejected,rejection_rate,n_standards,n_deviants,sfreq,n_channels
sub-001,P3,200,187,13,0.065,148,39,256.0,33
sub-002,P3,200,198,2,0.01,158,40,256.0,33
sub-003,P3,200,27,173,0.865,21,6,256.0,33
sub-004,P3,200,64,136,0.68,41,23,256.0,33
sub-005,P3,200,31,169,0.845,23,8,256.0,33
sub-006,P3,200,164,36,0.18,132,32,256.0,33
sub-007,P3,200,198,2,0.01,158,40,256.0,33
sub-008,P3,200,176,24,0.12,141,35,256.0,33
sub-009,P3,200,41,159,0.795,29,12,256.0,33
sub-010,P3,200,175,25,0.125,139,36,256.0,33
sub-011,P3,200,184,16,0.08,149,35,256.0,33
sub-013,P3,200,199,1,0.005,160,39,256.0,33
sub-014,P3,200,197,3,0.015,157,40,256.0,33
sub-015,P3,200,198,2,0.01,160,38,256.0,33
sub-016,P3,200,199,1,0.005,159,40,256.0,33
sub-017,P3,200,200,0,0.0,160,40,256.0,33
sub-018,P3,200,194,6,0.03,155,39,256.0,33
sub-019,P3,200,200,0,0.0,160,40,256.0,33
sub-020,P3,200,198,2,0.01,158,40,256.0,33
sub-021,P3,200,200,0,0.0,160,40,256.0,33
sub-022,P3,200,197,3,0.015,158,39,256.0,33
sub-023,P3,200,199,1,0.005,159,40,256.0,33
sub-024,P3,200,197,3,0.015,158,39,256.0,33
sub-025,P3,200,110,90,0.45,90,20,256.0,33
sub-026,P3,200,197,3,0.015,158,39,256.0,33
sub-027,P3,200,198,2,0.01,159,39,256.0,33
sub-028,P3,200,197,3,0.015,157,40,256.0,33
sub-029,P3,200,190,10,0.05,153,37,256.0,33
sub-030,P3,200,57,143,0.715,46,11,256.0,33
sub-031,P3,200,198,2,0.01,159,39,256.0,33
sub-032,P3,200,9,191,0.955,3,6,256.0,33
sub-033,P3,200,196,4,0.02,156,40,256.0,33
sub-034,P3,200,194,6,0.03,154,40,256.0,33
sub-035,P3,200,125,75,0.375,106,19,256.0,33
sub-036,P3,200,173,27,0.135,136,37,256.0,33
sub-037,P3,200,182,18,0.09,144,38,256.0,33
sub-038,P3,200,197,3,0.015,157,40,256.0,33
sub-039,P3,200,191,9,0.045,152,39,256.0,33
sub-040,P3,200,173,27,0.135,142,31,256.0,33
